"Display Name","Phone","Email","Salesperson","Activities","City","Country","Channels"
"Administrator","","ernesto.ramiro@educa.madrid.org","","","","","general"
"","","","","","","","OdooBot, Administrator"
"","","","","","","","Ventas"
"","","","","","","","Marcos, Administrator"
"","","","","","","","Sergio Tomeo, Administrator"
"","","","","","","","Devoluciones"
"Drasanvi","123456789","Dransanvi@Drasanvi","","","","",""
"Healthy Weight","","info@healthyweight.com","","","","",""
"Marcos","","marcos.martin16@educa.madrid.org","","","","","general"
"","","","","","","","Ventas"
"","","","","","","","Marcos, Administrator"
"","","","","","","","Devoluciones"
"Mario","654918234","mario@mario.com","","","","",""
"Marta","","marta@marta.marta","","","","","general"
"Miguel","652915432","miguel@miguel.com","","","","",""
"Sergio Tomeo","","sergio.tomeo1@educa.madrid.org","","","","","general"
"","","","","","","","Ventas"
"","","","","","","","Sergio Tomeo, Administrator"
"","","","","","","","Devoluciones"
"Virginia","","","","","","",""
